Week,Name,Results,Team,Confidence
1,Coonhound Tul,CORRECT,NO,9
1,Coonhound Tul,CORRECT,KC,15
1,Coonhound Tul,CORRECT,SEA,13
1,Coonhound Tul,CORRECT,CIN,12
1,Coonhound Tul,CORRECT,SF,7
1,Coonhound Tul,CORRECT,ARI,4
1,Coonhound Tul,INCORRECT,BAL,6
1,Coonhound Tul,INCORRECT,IND,16
1,Coonhound Tul,INCORRECT,CLE,2
1,Coonhound Tul,INCORRECT,MIN,3
1,Coonhound Tul,INCORRECT,NE,8
1,Coonhound Tul,INCORRECT,TB,14
1,Coonhound Tul,INCORRECT,PIT,10
1,Coonhound Tul,INCORRECT,NYG,1
1,Coonhound Tul,INCORRECT,WAS,5
1,Coonhound Tul,INCORRECT,HOU,11
2,Coonhound Tul,CORRECT,ATL,4
2,Coonhound Tul,CORRECT,GB,9
2,Coonhound Tul,CORRECT,BAL,11
2,Coonhound Tul,CORRECT,MIA,10
2,Coonhound Tul,CORRECT,TB,5
2,Coonhound Tul,CORRECT,OAK,13
2,Coonhound Tul,CORRECT,DEN,6
2,Coonhound Tul,CORRECT,SEA,3
2,Coonhound Tul,CORRECT,CIN,2
2,Coonhound Tul,INCORRECT,NE,14
2,Coonhound Tul,INCORRECT,PHI,15
2,Coonhound Tul,INCORRECT,CAR,8
2,Coonhound Tul,INCORRECT,HOU,16
2,Coonhound Tul,INCORRECT,CHI,1
2,Coonhound Tul,INCORRECT,KC,7
2,Coonhound Tul,INCORRECT,DET,12
3,Coonhound Tul,CORRECT,KC,4
3,Coonhound Tul,CORRECT,BAL,15
3,Coonhound Tul,CORRECT,SD,14
3,Coonhound Tul,CORRECT,DAL,13
3,Coonhound Tul,CORRECT,NE,12
3,Coonhound Tul,CORRECT,CIN,8
3,Coonhound Tul,CORRECT,MIA,6
3,Coonhound Tul,CORRECT,SEA,5
3,Coonhound Tul,CORRECT,IND,11
3,Coonhound Tul,CORRECT,NYJ,3
3,Coonhound Tul,CORRECT,CHI,2
3,Coonhound Tul,INCORRECT,MIN,16
3,Coonhound Tul,INCORRECT,ARI,10
3,Coonhound Tul,INCORRECT,WAS,9
3,Coonhound Tul,INCORRECT,NYG,7
3,Coonhound Tul,INCORRECT,OAK,1
4,Coonhound Tul,CORRECT,DET,13
4,Coonhound Tul,CORRECT,KC,12
4,Coonhound Tul,CORRECT,CLE,11
4,Coonhound Tul,CORRECT,MIN,16
4,Coonhound Tul,CORRECT,TEN,2
4,Coonhound Tul,CORRECT,SD,6
4,Coonhound Tul,CORRECT,WAS,5
4,Coonhound Tul,CORRECT,DEN,4
4,Coonhound Tul,CORRECT,NE,3
4,Coonhound Tul,CORRECT,NO,8
4,Coonhound Tul,INCORRECT,STL,10
4,Coonhound Tul,INCORRECT,JAC,15
4,Coonhound Tul,INCORRECT,SEA,14
4,Coonhound Tul,INCORRECT,TB,7
4,Coonhound Tul,INCORRECT,BAL,9
5,Coonhound Tul,CORRECT,STL,4
5,Coonhound Tul,CORRECT,KC,13
5,Coonhound Tul,CORRECT,GB,8
5,Coonhound Tul,CORRECT,ARI,7
5,Coonhound Tul,INCORRECT,SEA,15
5,Coonhound Tul,INCORRECT,MIA,3
5,Coonhound Tul,INCORRECT,NYG,11
5,Coonhound Tul,INCORRECT,CHI,9
5,Coonhound Tul,INCORRECT,NE,12
5,Coonhound Tul,INCORRECT,DEN,6
5,Coonhound Tul,INCORRECT,HOU,5
5,Coonhound Tul,INCORRECT,SD,14
5,Coonhound Tul,INCORRECT,ATL,10
6,Coonhound Tul,CORRECT,NYG,2
6,Coonhound Tul,CORRECT,BAL,14
6,Coonhound Tul,CORRECT,PHI,12
6,Coonhound Tul,CORRECT,BUF,10
6,Coonhound Tul,CORRECT,PIT,9
6,Coonhound Tul,CORRECT,KC,8
6,Coonhound Tul,CORRECT,NE,5
6,Coonhound Tul,CORRECT,SF,4
6,Coonhound Tul,CORRECT,DAL,13
6,Coonhound Tul,CORRECT,SD,16
6,Coonhound Tul,INCORRECT,MIN,15
6,Coonhound Tul,INCORRECT,CLE,3
6,Coonhound Tul,INCORRECT,HOU,11
6,Coonhound Tul,INCORRECT,SEA,7
6,Coonhound Tul,INCORRECT,DEN,6
7,Coonhound Tul,CORRECT,DAL,14
7,Coonhound Tul,CORRECT,WAS,10
7,Coonhound Tul,CORRECT,SD,8
7,Coonhound Tul,CORRECT,SF,7
7,Coonhound Tul,CORRECT,GB,6
7,Coonhound Tul,INCORRECT,NE,2
7,Coonhound Tul,INCORRECT,TB,4
7,Coonhound Tul,INCORRECT,DET,12
7,Coonhound Tul,INCORRECT,STL,11
7,Coonhound Tul,INCORRECT,MIA,9
7,Coonhound Tul,INCORRECT,BAL,5
7,Coonhound Tul,INCORRECT,KC,13
7,Coonhound Tul,INCORRECT,DEN,3
7,Coonhound Tul,INCORRECT,MIN,15
8,Coonhound Tul,CORRECT,DAL,9
8,Coonhound Tul,CORRECT,NE,16
8,Coonhound Tul,CORRECT,NO,11
8,Coonhound Tul,CORRECT,OAK,4
8,Coonhound Tul,CORRECT,CIN,8
8,Coonhound Tul,INCORRECT,TB,7
8,Coonhound Tul,INCORRECT,JAC,6
8,Coonhound Tul,INCORRECT,KC,12
8,Coonhound Tul,INCORRECT,PHI,13
8,Coonhound Tul,INCORRECT,ATL,10
8,Coonhound Tul,INCORRECT,WAS,14
8,Coonhound Tul,INCORRECT,MIN,5
8,Coonhound Tul,INCORRECT,SEA,15
9,Coonhound Tul,CORRECT,KC,12
9,Coonhound Tul,CORRECT,CAR,11
9,Coonhound Tul,CORRECT,NE,6
9,Coonhound Tul,CORRECT,IND,5
9,Coonhound Tul,INCORRECT,STL,15
9,Coonhound Tul,INCORRECT,NO,14
9,Coonhound Tul,INCORRECT,DAL,13
9,Coonhound Tul,INCORRECT,SD,10
9,Coonhound Tul,INCORRECT,OAK,9
9,Coonhound Tul,INCORRECT,SEA,8
9,Coonhound Tul,INCORRECT,BAL,7
9,Coonhound Tul,INCORRECT,GB,4
10,Coonhound Tul,CORRECT,MIN,10
10,Coonhound Tul,CORRECT,PIT,12
10,Coonhound Tul,CORRECT,PHI,11
10,Coonhound Tul,CORRECT,SEA,8
10,Coonhound Tul,CORRECT,NO,4
10,Coonhound Tul,CORRECT,TB,3
10,Coonhound Tul,INCORRECT,DET,15
10,Coonhound Tul,INCORRECT,TEN,14
10,Coonhound Tul,INCORRECT,CIN,13
10,Coonhound Tul,INCORRECT,IND,16
10,Coonhound Tul,INCORRECT,NYG,9
10,Coonhound Tul,INCORRECT,SF,7
10,Coonhound Tul,INCORRECT,SD,6
10,Coonhound Tul,INCORRECT,HOU,5
11,Coonhound Tul,CORRECT,TB,3
11,Coonhound Tul,CORRECT,PIT,5
11,Coonhound Tul,CORRECT,BAL,12
11,Coonhound Tul,CORRECT,ARI,10
11,Coonhound Tul,CORRECT,NYG,6
11,Coonhound Tul,CORRECT,SEA,13
11,Coonhound Tul,INCORRECT,NYJ,7
11,Coonhound Tul,INCORRECT,WAS,2
11,Coonhound Tul,INCORRECT,HOU,4
11,Coonhound Tul,INCORRECT,CLE,8
11,Coonhound Tul,INCORRECT,SD,14
11,Coonhound Tul,INCORRECT,NO,9
11,Coonhound Tul,INCORRECT,KC,15
11,Coonhound Tul,INCORRECT,NE,11
16,Coonhound Tul,CORRECT,DEN,12
16,Coonhound Tul,CORRECT,CAR,6
16,Coonhound Tul,CORRECT,JAC,11
16,Coonhound Tul,CORRECT,STL,8
16,Coonhound Tul,CORRECT,NYG,7
