Week,Name,Results,Team,Confidence
1,llama llama,CORRECT,OAK,14
1,llama llama,CORRECT,MIA,13
1,llama llama,CORRECT,KC,9
1,llama llama,CORRECT,SEA,8
1,llama llama,CORRECT,CIN,7
1,llama llama,CORRECT,TEN,6
1,llama llama,CORRECT,ARI,4
1,llama llama,CORRECT,PHI,2
1,llama llama,INCORRECT,BAL,10
1,llama llama,INCORRECT,ATL,15
1,llama llama,INCORRECT,MIN,12
1,llama llama,INCORRECT,NE,11
1,llama llama,INCORRECT,TB,16
1,llama llama,INCORRECT,GB,5
1,llama llama,INCORRECT,NYG,3
1,llama llama,INCORRECT,HOU,1
2,llama llama,CORRECT,NYJ,10
2,llama llama,CORRECT,BUF,15
2,llama llama,CORRECT,BAL,13
2,llama llama,CORRECT,MIN,6
2,llama llama,CORRECT,OAK,3
2,llama llama,CORRECT,DEN,16
2,llama llama,CORRECT,CIN,1
2,llama llama,INCORRECT,PHI,8
2,llama llama,INCORRECT,STL,12
2,llama llama,INCORRECT,WAS,11
2,llama llama,INCORRECT,IND,9
2,llama llama,INCORRECT,HOU,7
2,llama llama,INCORRECT,KC,5
2,llama llama,INCORRECT,DET,4
2,llama llama,INCORRECT,NO,14
2,llama llama,INCORRECT,SF,2
3,llama llama,CORRECT,KC,16
3,llama llama,CORRECT,SD,12
3,llama llama,CORRECT,DAL,11
3,llama llama,CORRECT,NE,6
3,llama llama,CORRECT,NO,8
3,llama llama,CORRECT,DET,9
3,llama llama,CORRECT,IND,3
3,llama llama,CORRECT,CHI,1
3,llama llama,INCORRECT,HOU,13
3,llama llama,INCORRECT,MIN,10
3,llama llama,INCORRECT,GB,7
3,llama llama,INCORRECT,NYG,4
3,llama llama,INCORRECT,ATL,5
3,llama llama,INCORRECT,JAC,15
3,llama llama,INCORRECT,BUF,2
3,llama llama,INCORRECT,OAK,14
4,llama llama,CORRECT,SF,13
4,llama llama,CORRECT,IND,12
4,llama llama,CORRECT,KC,15
4,llama llama,CORRECT,ARI,14
4,llama llama,CORRECT,MIN,7
4,llama llama,CORRECT,TEN,6
4,llama llama,CORRECT,DEN,3
4,llama llama,CORRECT,NE,2
4,llama llama,INCORRECT,SEA,11
4,llama llama,INCORRECT,CHI,10
4,llama llama,INCORRECT,CIN,9
4,llama llama,INCORRECT,BAL,8
4,llama llama,INCORRECT,DAL,5
4,llama llama,INCORRECT,OAK,4
4,llama llama,INCORRECT,MIA,16
5,llama llama,CORRECT,STL,10
5,llama llama,CORRECT,KC,9
5,llama llama,CORRECT,PHI,12
5,llama llama,CORRECT,NO,13
5,llama llama,CORRECT,GB,7
5,llama llama,CORRECT,ARI,6
5,llama llama,CORRECT,SF,3
5,llama llama,CORRECT,NYJ,14
5,llama llama,INCORRECT,BUF,16
5,llama llama,INCORRECT,SEA,11
5,llama llama,INCORRECT,MIA,8
5,llama llama,INCORRECT,NE,15
5,llama llama,INCORRECT,DEN,5
5,llama llama,INCORRECT,SD,4
6,llama llama,CORRECT,CAR,15
6,llama llama,CORRECT,DET,13
6,llama llama,CORRECT,PHI,12
6,llama llama,CORRECT,STL,11
6,llama llama,CORRECT,PIT,9
6,llama llama,CORRECT,TEN,7
6,llama llama,CORRECT,JAC,6
6,llama llama,INCORRECT,CHI,16
6,llama llama,INCORRECT,GB,14
6,llama llama,INCORRECT,CIN,10
6,llama llama,INCORRECT,OAK,8
6,llama llama,INCORRECT,NO,5
6,llama llama,INCORRECT,ARI,4
6,llama llama,INCORRECT,WAS,3
6,llama llama,INCORRECT,IND,2
7,llama llama,CORRECT,SEA,6
7,llama llama,CORRECT,DAL,12
7,llama llama,CORRECT,CIN,11
7,llama llama,CORRECT,BUF,8
7,llama llama,CORRECT,SD,7
7,llama llama,CORRECT,SF,4
7,llama llama,INCORRECT,NE,14
7,llama llama,INCORRECT,TB,13
7,llama llama,INCORRECT,STL,10
7,llama llama,INCORRECT,CHI,9
7,llama llama,INCORRECT,CLE,3
7,llama llama,INCORRECT,BAL,2
7,llama llama,INCORRECT,KC,16
7,llama llama,INCORRECT,DEN,15
7,llama llama,INCORRECT,MIN,5
8,llama llama,CORRECT,CAR,14
8,llama llama,CORRECT,SF,15
8,llama llama,CORRECT,NE,12
8,llama llama,CORRECT,NYG,10
8,llama llama,CORRECT,CIN,8
8,llama llama,CORRECT,STL,4
8,llama llama,INCORRECT,DET,13
8,llama llama,INCORRECT,KC,16
8,llama llama,INCORRECT,BUF,11
8,llama llama,INCORRECT,PIT,9
8,llama llama,INCORRECT,ATL,7
8,llama llama,INCORRECT,WAS,6
8,llama llama,INCORRECT,MIN,5
9,llama llama,CORRECT,MIN,12
9,llama llama,CORRECT,KC,16
9,llama llama,CORRECT,CAR,11
9,llama llama,CORRECT,PHI,9
9,llama llama,CORRECT,CLE,7
9,llama llama,CORRECT,NE,6
9,llama llama,CORRECT,IND,5
9,llama llama,CORRECT,CHI,4
9,llama llama,INCORRECT,CIN,15
9,llama llama,INCORRECT,STL,14
9,llama llama,INCORRECT,NO,13
9,llama llama,INCORRECT,SD,10
9,llama llama,INCORRECT,SEA,8
11,llama llama,CORRECT,TB,15
11,llama llama,CORRECT,BUF,11
11,llama llama,CORRECT,PIT,10
11,llama llama,CORRECT,BAL,8
11,llama llama,CORRECT,ARI,7
