Week,Name,Results,Team,Confidence
1,Drew,CORRECT,DEN,12
1,Drew,CORRECT,DET,10
1,Drew,CORRECT,BUF,1
1,Drew,CORRECT,KC,11
1,Drew,CORRECT,SEA,14
1,Drew,CORRECT,CIN,13
1,Drew,CORRECT,SF,9
1,Drew,INCORRECT,ATL,5
1,Drew,INCORRECT,IND,16
1,Drew,INCORRECT,CLE,7
1,Drew,INCORRECT,TB,15
1,Drew,INCORRECT,PIT,3
1,Drew,INCORRECT,STL,6
1,Drew,INCORRECT,NYG,4
1,Drew,INCORRECT,WAS,8
1,Drew,INCORRECT,HOU,2
2,Drew,CORRECT,BUF,7
2,Drew,CORRECT,ATL,13
2,Drew,CORRECT,MIN,12
2,Drew,CORRECT,ARI,10
2,Drew,CORRECT,OAK,3
2,Drew,CORRECT,DEN,9
2,Drew,CORRECT,CIN,5
2,Drew,INCORRECT,NE,15
2,Drew,INCORRECT,PHI,14
2,Drew,INCORRECT,WAS,1
2,Drew,INCORRECT,CLE,2
2,Drew,INCORRECT,IND,4
2,Drew,INCORRECT,HOU,8
2,Drew,INCORRECT,KC,11
2,Drew,INCORRECT,NO,6
2,Drew,INCORRECT,SF,16
3,Drew,CORRECT,KC,16
3,Drew,CORRECT,BAL,13
3,Drew,CORRECT,SD,11
3,Drew,CORRECT,DAL,9
3,Drew,CORRECT,NE,2
3,Drew,CORRECT,DET,1
3,Drew,CORRECT,MIA,6
3,Drew,CORRECT,SEA,8
3,Drew,CORRECT,NYJ,5
3,Drew,CORRECT,CHI,10
3,Drew,CORRECT,DEN,7
3,Drew,INCORRECT,MIN,15
3,Drew,INCORRECT,ARI,3
3,Drew,INCORRECT,GB,4
3,Drew,INCORRECT,NYG,12
3,Drew,INCORRECT,SF,14
4,Drew,CORRECT,SF,16
4,Drew,CORRECT,HOU,14
4,Drew,CORRECT,DET,13
4,Drew,CORRECT,KC,12
4,Drew,CORRECT,CLE,11
4,Drew,CORRECT,BUF,9
4,Drew,CORRECT,MIN,8
4,Drew,CORRECT,TEN,7
4,Drew,CORRECT,SD,6
4,Drew,CORRECT,DEN,4
4,Drew,CORRECT,NO,2
4,Drew,INCORRECT,JAC,15
4,Drew,INCORRECT,TB,10
4,Drew,INCORRECT,OAK,5
4,Drew,INCORRECT,ATL,3
5,Drew,CORRECT,CLE,7
5,Drew,CORRECT,IND,4
5,Drew,CORRECT,STL,10
5,Drew,CORRECT,KC,12
5,Drew,CORRECT,PHI,14
5,Drew,CORRECT,NO,15
5,Drew,CORRECT,CIN,11
5,Drew,CORRECT,GB,6
5,Drew,CORRECT,ARI,5
5,Drew,INCORRECT,MIA,9
5,Drew,INCORRECT,DEN,16
5,Drew,INCORRECT,HOU,3
5,Drew,INCORRECT,SD,8
5,Drew,INCORRECT,ATL,13
6,Drew,CORRECT,BUF,9
6,Drew,CORRECT,NE,4
6,Drew,CORRECT,SF,3
6,Drew,CORRECT,DAL,16
6,Drew,CORRECT,SD,2
6,Drew,INCORRECT,CHI,15
6,Drew,INCORRECT,MIN,14
6,Drew,INCORRECT,GB,13
6,Drew,INCORRECT,CLE,12
6,Drew,INCORRECT,TB,11
6,Drew,INCORRECT,HOU,10
6,Drew,INCORRECT,NYJ,8
6,Drew,INCORRECT,OAK,7
6,Drew,INCORRECT,SEA,6
6,Drew,INCORRECT,DEN,5
7,Drew,CORRECT,DAL,9
7,Drew,CORRECT,CIN,11
7,Drew,CORRECT,CAR,8
7,Drew,CORRECT,WAS,5
7,Drew,CORRECT,BUF,7
7,Drew,CORRECT,SF,12
7,Drew,CORRECT,NYG,10
7,Drew,INCORRECT,NE,2
7,Drew,INCORRECT,TB,3
7,Drew,INCORRECT,JAC,4
7,Drew,INCORRECT,CLE,6
7,Drew,INCORRECT,BAL,13
7,Drew,INCORRECT,KC,14
7,Drew,INCORRECT,DEN,15
8,Drew,CORRECT,CAR,11
8,Drew,CORRECT,DAL,15
8,Drew,CORRECT,SF,4
8,Drew,CORRECT,NE,7
8,Drew,CORRECT,NO,14
8,Drew,CORRECT,NYG,8
8,Drew,CORRECT,OAK,12
8,Drew,CORRECT,CIN,9
8,Drew,CORRECT,ARI,5
8,Drew,CORRECT,DEN,16
8,Drew,CORRECT,GB,10
8,Drew,INCORRECT,KC,6
8,Drew,INCORRECT,SEA,13
9,Drew,CORRECT,NYJ,6
9,Drew,CORRECT,KC,7
9,Drew,CORRECT,CAR,16
9,Drew,CORRECT,NE,5
9,Drew,CORRECT,IND,12
9,Drew,INCORRECT,CIN,10
9,Drew,INCORRECT,STL,9
9,Drew,INCORRECT,DAL,14
9,Drew,INCORRECT,SD,11
9,Drew,INCORRECT,OAK,13
9,Drew,INCORRECT,SEA,4
9,Drew,INCORRECT,BAL,8
9,Drew,INCORRECT,GB,15
10,Drew,CORRECT,PIT,8
10,Drew,CORRECT,PHI,12
10,Drew,CORRECT,DEN,4
10,Drew,CORRECT,ARI,14
10,Drew,CORRECT,NO,16
10,Drew,CORRECT,TB,13
10,Drew,INCORRECT,WAS,3
10,Drew,INCORRECT,DET,10
10,Drew,INCORRECT,TEN,11
10,Drew,INCORRECT,CIN,7
10,Drew,INCORRECT,IND,6
10,Drew,INCORRECT,NYG,9
10,Drew,INCORRECT,ATL,5
10,Drew,INCORRECT,SF,15
11,Drew,CORRECT,TEN,5
11,Drew,CORRECT,TB,10
11,Drew,CORRECT,PHI,15
11,Drew,CORRECT,BAL,12
11,Drew,CORRECT,OAK,3
11,Drew,CORRECT,CIN,6
11,Drew,CORRECT,NYG,16
11,Drew,CORRECT,SEA,8
11,Drew,INCORRECT,NYJ,13
11,Drew,INCORRECT,DET,7
11,Drew,INCORRECT,JAC,9
11,Drew,INCORRECT,SD,11
11,Drew,INCORRECT,NO,4
11,Drew,INCORRECT,KC,2
11,Drew,INCORRECT,NE,14
12,Drew,CORRECT,BAL,8
12,Drew,CORRECT,STL,15
12,Drew,CORRECT,PIT,13
12,Drew,CORRECT,TB,3
12,Drew,CORRECT,JAC,7
12,Drew,CORRECT,CAR,12
12,Drew,CORRECT,SF,11
12,Drew,INCORRECT,NO,16
12,Drew,INCORRECT,KC,14
12,Drew,INCORRECT,GB,10
12,Drew,INCORRECT,OAK,9
12,Drew,INCORRECT,IND,4
12,Drew,INCORRECT,NYG,5
12,Drew,INCORRECT,DEN,6
13,Drew,CORRECT,DET,16
13,Drew,CORRECT,PIT,14
13,Drew,CORRECT,JAC,9
13,Drew,CORRECT,IND,7
13,Drew,CORRECT,DEN,13
13,Drew,CORRECT,NYG,2
13,Drew,INCORRECT,DAL,15
13,Drew,INCORRECT,NE,11
13,Drew,INCORRECT,CHI,8
13,Drew,INCORRECT,PHI,10
13,Drew,INCORRECT,NYJ,6
13,Drew,INCORRECT,TB,5
13,Drew,INCORRECT,STL,4
13,Drew,INCORRECT,BUF,3
13,Drew,INCORRECT,SD,12
13,Drew,INCORRECT,NO,1
14,Drew,CORRECT,JAC,16
14,Drew,CORRECT,PHI,15
14,Drew,CORRECT,CIN,9
14,Drew,CORRECT,KC,14
14,Drew,CORRECT,TB,13
14,Drew,CORRECT,DEN,12
14,Drew,CORRECT,ARI,8
14,Drew,CORRECT,NO,10
14,Drew,INCORRECT,OAK,11
14,Drew,INCORRECT,BAL,5
14,Drew,INCORRECT,PIT,4
14,Drew,INCORRECT,GB,3
14,Drew,INCORRECT,NE,7
14,Drew,INCORRECT,NYG,2
14,Drew,INCORRECT,SF,1
14,Drew,INCORRECT,DAL,6
15,Drew,CORRECT,MIA,1
15,Drew,CORRECT,IND,9
15,Drew,CORRECT,SF,7
15,Drew,CORRECT,SEA,2
15,Drew,CORRECT,KC,13
15,Drew,CORRECT,GB,4
15,Drew,CORRECT,ARI,5
15,Drew,INCORRECT,DEN,16
15,Drew,INCORRECT,PHI,14
15,Drew,INCORRECT,CLE,6
15,Drew,INCORRECT,ATL,3
15,Drew,INCORRECT,JAC,12
15,Drew,INCORRECT,CAR,15
15,Drew,INCORRECT,NO,11
15,Drew,INCORRECT,CIN,10
15,Drew,INCORRECT,DET,8
16,Drew,CORRECT,CIN,14
16,Drew,CORRECT,DEN,3
16,Drew,CORRECT,CAR,9
16,Drew,CORRECT,JAC,4
16,Drew,CORRECT,NYJ,12
16,Drew,CORRECT,STL,7
16,Drew,CORRECT,ARI,1
16,Drew,CORRECT,PIT,8
16,Drew,CORRECT,SD,6
16,Drew,CORRECT,PHI,5
16,Drew,INCORRECT,MIA,11
16,Drew,INCORRECT,KC,15
16,Drew,INCORRECT,DAL,16
16,Drew,INCORRECT,DET,13
16,Drew,INCORRECT,BAL,10
16,Drew,INCORRECT,SF,2
17,Drew,CORRECT,ATL,14
17,Drew,CORRECT,NYG,12
17,Drew,CORRECT,CIN,9
17,Drew,CORRECT,PIT,8
17,Drew,CORRECT,HOU,7
17,Drew,CORRECT,IND,5
17,Drew,CORRECT,DEN,3
17,Drew,CORRECT,NO,15
17,Drew,CORRECT,NE,16
17,Drew,INCORRECT,MIN,13
