Week,Name,Results,Team,Confidence
1,steve lrnz,CORRECT,DEN,12
1,steve lrnz,CORRECT,NO,11
1,steve lrnz,CORRECT,MIA,6
1,steve lrnz,CORRECT,DET,9
1,steve lrnz,CORRECT,BUF,5
1,steve lrnz,CORRECT,KC,10
1,steve lrnz,CORRECT,SEA,14
1,steve lrnz,CORRECT,CIN,8
1,steve lrnz,CORRECT,TEN,3
1,steve lrnz,CORRECT,SF,4
1,steve lrnz,INCORRECT,IND,16
1,steve lrnz,INCORRECT,TB,13
1,steve lrnz,INCORRECT,STL,7
1,steve lrnz,INCORRECT,NYG,2
1,steve lrnz,INCORRECT,WAS,1
1,steve lrnz,INCORRECT,HOU,15
2,steve lrnz,CORRECT,ATL,6
2,steve lrnz,CORRECT,GB,12
2,steve lrnz,CORRECT,OAK,5
2,steve lrnz,CORRECT,DEN,10
2,steve lrnz,CORRECT,SEA,7
2,steve lrnz,INCORRECT,NE,16
2,steve lrnz,INCORRECT,PHI,14
2,steve lrnz,INCORRECT,CAR,9
2,steve lrnz,INCORRECT,CLE,3
2,steve lrnz,INCORRECT,IND,15
2,steve lrnz,INCORRECT,HOU,13
2,steve lrnz,INCORRECT,CHI,2
2,steve lrnz,INCORRECT,KC,8
2,steve lrnz,INCORRECT,DET,4
2,steve lrnz,INCORRECT,NO,11
2,steve lrnz,INCORRECT,PIT,1
3,steve lrnz,CORRECT,KC,12
3,steve lrnz,CORRECT,SD,13
3,steve lrnz,CORRECT,NO,14
3,steve lrnz,CORRECT,DET,9
3,steve lrnz,CORRECT,CIN,7
3,steve lrnz,CORRECT,SEA,16
3,steve lrnz,CORRECT,CHI,11
3,steve lrnz,CORRECT,DEN,15
3,steve lrnz,INCORRECT,HOU,8
3,steve lrnz,INCORRECT,STL,3
3,steve lrnz,INCORRECT,TB,2
3,steve lrnz,INCORRECT,MIN,5
3,steve lrnz,INCORRECT,NYG,6
3,steve lrnz,INCORRECT,ATL,10
3,steve lrnz,INCORRECT,SF,4
3,steve lrnz,INCORRECT,BUF,1
4,steve lrnz,CORRECT,SF,12
4,steve lrnz,CORRECT,IND,11
4,steve lrnz,CORRECT,DET,10
4,steve lrnz,CORRECT,KC,9
4,steve lrnz,CORRECT,ARI,7
4,steve lrnz,CORRECT,TEN,6
4,steve lrnz,CORRECT,SD,8
4,steve lrnz,CORRECT,DEN,15
4,steve lrnz,CORRECT,NO,13
4,steve lrnz,INCORRECT,SEA,14
4,steve lrnz,INCORRECT,CIN,16
4,steve lrnz,INCORRECT,BAL,3
4,steve lrnz,INCORRECT,PIT,5
4,steve lrnz,INCORRECT,OAK,4
4,steve lrnz,INCORRECT,ATL,2
5,steve lrnz,CORRECT,CLE,10
5,steve lrnz,CORRECT,KC,16
5,steve lrnz,CORRECT,PHI,4
5,steve lrnz,CORRECT,NO,14
5,steve lrnz,CORRECT,GB,11
5,steve lrnz,CORRECT,ARI,5
5,steve lrnz,INCORRECT,SEA,9
5,steve lrnz,INCORRECT,JAC,8
5,steve lrnz,INCORRECT,MIA,3
5,steve lrnz,INCORRECT,NE,13
5,steve lrnz,INCORRECT,DEN,15
5,steve lrnz,INCORRECT,HOU,6
5,steve lrnz,INCORRECT,SD,7
5,steve lrnz,INCORRECT,ATL,12
6,steve lrnz,CORRECT,PHI,4
6,steve lrnz,CORRECT,STL,3
6,steve lrnz,CORRECT,PIT,7
6,steve lrnz,CORRECT,KC,16
6,steve lrnz,CORRECT,JAC,6
6,steve lrnz,CORRECT,DAL,14
6,steve lrnz,INCORRECT,CHI,10
6,steve lrnz,INCORRECT,MIN,5
6,steve lrnz,INCORRECT,GB,13
6,steve lrnz,INCORRECT,CLE,9
6,steve lrnz,INCORRECT,CIN,12
6,steve lrnz,INCORRECT,SEA,11
6,steve lrnz,INCORRECT,NO,15
6,steve lrnz,INCORRECT,ARI,8
6,steve lrnz,INCORRECT,IND,2
7,steve lrnz,CORRECT,SEA,10
7,steve lrnz,CORRECT,ATL,2
7,steve lrnz,CORRECT,CIN,15
7,steve lrnz,CORRECT,CAR,6
7,steve lrnz,CORRECT,BUF,4
7,steve lrnz,CORRECT,SF,8
7,steve lrnz,CORRECT,GB,14
7,steve lrnz,CORRECT,PIT,3
7,steve lrnz,CORRECT,NYG,7
7,steve lrnz,INCORRECT,NE,16
7,steve lrnz,INCORRECT,PHI,9
7,steve lrnz,INCORRECT,CHI,12
7,steve lrnz,INCORRECT,JAC,5
7,steve lrnz,INCORRECT,KC,13
7,steve lrnz,INCORRECT,DEN,11
8,steve lrnz,CORRECT,CAR,9
8,steve lrnz,CORRECT,SF,6
8,steve lrnz,CORRECT,NE,12
8,steve lrnz,CORRECT,NO,14
8,steve lrnz,CORRECT,NYG,4
8,steve lrnz,CORRECT,CIN,11
8,steve lrnz,CORRECT,ARI,5
8,steve lrnz,CORRECT,DEN,13
8,steve lrnz,CORRECT,GB,8
8,steve lrnz,INCORRECT,DET,7
8,steve lrnz,INCORRECT,KC,16
8,steve lrnz,INCORRECT,PIT,10
8,steve lrnz,INCORRECT,SEA,15
